frame,Fish1_P1_x,Fish1_P1_y,Fish1_P1_z,Fish1_P2_x,Fish1_P2_y,Fish1_P2_z,Fish1_P3_x,Fish1_P3_y,Fish1_P3_z,Fish1_P4_x,Fish1_P4_y,Fish1_P4_z,Fish1_P5_x,Fish1_P5_y,Fish1_P5_z,Fish1_P6_x,Fish1_P6_y,Fish1_P6_z,Fish1_P7_x,Fish1_P7_y,Fish1_P7_z,Fish1_P8_x,Fish1_P8_y,Fish1_P8_z,Fish1_P9_x,Fish1_P9_y,Fish1_P9_z,Fish1_P10_x,Fish1_P10_y,Fish1_P10_z,Fish1_P11_x,Fish1_P11_y,Fish1_P11_z,Fish1_P12_x,Fish1_P12_y,Fish1_P12_z,Fish1_P13_x,Fish1_P13_y,Fish1_P13_z
147,479.3284,426.5553,0.9569,469.3916,429.3286,2.6520,459.5170,431.4527,3.4839,449.8452,432.4737,3.2752,439.9056,433.4947,2.7162,429.4323,433.8480,1.2854,419.6599,434.5932,-0.8308,409.4348,435.7999,-2.3190,399.7060,437.9393,-3.7125,390.5049,441.2621,-3.4992,380.8486,445.4986,-2.6700,371.7084,449.8388,-1.1372,362.5043,454.1474,0.9340
148,480.7464,425.6270,-0.2835,471.0977,428.6780,1.5591,461.6412,431.2173,3.1641,451.6145,433.0858,3.5646,441.7030,434.0152,3.1674,431.6939,434.6192,1.9092,421.5770,435.0708,0.0751,411.3833,435.8504,-1.4077,401.3777,436.9929,-3.0356,391.9899,439.8749,-3.9348,382.4867,443.1611,-2.9487,373.2199,447.9449,-2.0026,363.9599,452.5924,-0.1883
149,482.4354,424.7445,-1.1261,472.5764,427.8508,0.2854,463.2370,430.5864,2.5930,453.4515,432.9666,3.2426,443.7641,434.4416,3.4676,433.8550,435.4219,2.8813,423.7809,435.5297,1.2329,413.1472,436.1374,-0.5872,403.4118,436.7582,-2.4833,393.2958,438.8070,-3.1565,384.0519,441.9426,-3.4633,374.1258,446.1106,-2.8352,365.2621,450.7198,-1.2229
150,484.2707,424.1585,-2.3484,474.4173,427.2528,-0.6798,464.8909,429.8470,1.2880,455.4076,432.8687,2.7869,445.5957,434.8048,3.6213,435.7123,436.0012,3.4135,425.3304,436.4590,2.2326,415.2019,436.4028,0.9517,404.9461,437.0385,-1.1235,395.2624,438.1683,-2.7408,385.3913,440.1812,-3.6588,376.1780,444.1174,-3.3649,367.1178,448.6680,-2.3949
151,485.7071,422.6458,-3.1868,475.9555,426.0774,-1.7331,466.3116,429.3402,0.2647,456.9957,432.3807,1.9901,447.2076,434.7186,3.2032,437.3377,436.1300,3.6592,427.7490,437.0469,3.0881,417.0634,437.2114,1.6657,406.9679,437.2752,-0.1262,396.8530,438.2016,-1.5945,386.9554,439.6337,-3.1104,377.5638,442.5381,-3.6837,368.2239,446.5610,-2.7243
152,487.4464,422.0349,-3.5172,477.6331,425.2501,-2.6069,468.1959,428.4920,-0.8440,458.7017,431.5548,0.8146,449.0613,434.3171,2.5405,439.5048,436.7564,3.1328,429.7206,437.8135,3.4972,419.1711,437.7877,2.7735,408.8500,438.1751,0.9365,398.5871,438.3292,-0.7914,388.6735,439.3661,-2.2251,379.1299,441.4931,-3.5688,369.4276,444.8992,-3.4843
153,489.0808,421.2869,-3.2170,479.5085,423.8383,-3.4187,469.6103,426.9933,-1.9319,460.3246,430.4269,-0.1694,450.9081,433.7940,1.5701,441.1513,436.1491,2.7040,431.1776,437.9463,3.4679,421.2153,438.7754,3.0429,411.0233,438.9950,1.9448,400.9215,438.9133,0.3162,390.5994,439.3051,-1.4697,380.4417,440.8104,-3.0574,371.1934,443.0713,-3.6559
154,490.5317,420.6701,-3.3081,481.1299,423.0746,-3.7538,471.6712,425.8352,-2.8914,461.8550,429.3300,-1.5653,452.6430,432.9760,0.5051,442.8846,435.7758,2.1946,433.0293,438.2035,3.3944,423.1777,439.5331,3.6534,413.1930,440.1502,2.6268,402.6350,439.5363,1.3251,392.3469,439.5893,-0.3686,382.6185,440.6036,-2.0830,372.8490,442.2135,-3.3890
155,492.6608,420.3608,-3.0409,482.5353,422.1462,-3.6731,473.2883,425.2480,-3.3357,463.6099,428.5213,-2.2519,454.1730,431.8322,-0.5756,444.7924,435.2926,1.2378,434.9038,438.0277,2.5040,425.2042,439.8691,3.5923,414.9145,440.7500,3.4127,404.8688,440.7602,2.1947,394.3710,440.5044,0.3015,384.4779,440.8528,-1.1693,374.5308,441.9042,-2.5968
156,494.6495,419.8132,-1.9532,484.5278,421.4461,-3.1764,474.7401,424.2267,-3.4380,465.2609,427.1441,-3.0473,455.7115,430.6589,-1.5443,446.1077,434.2413,0.1076,436.7267,437.6152,1.8644,426.8484,439.7670,3.0895,417.1524,441.2795,3.5083,407.0356,441.7146,3.1616,396.9705,441.7156,1.7478,386.4089,441.3177,0.0728,376.1646,441.3606,-1.7726
157,496.1555,419.9113,-0.7830,486.1040,421.2039,-2.3352,476.3815,423.1406,-3.5000,466.8098,425.8526,-3.2341,457.3553,429.0304,-2.5599,448.0315,433.4471,-1.0694,438.3449,436.3642,0.9478,428.8324,439.6343,2.3333,419.0876,441.9044,3.6625,408.9955,442.5358,3.6294,398.6929,442.1467,2.3366,388.6022,442.2850,0.9799,378.0188,441.8753,-1.0573
158,497.9271,420.0971,0.1640,487.8857,420.8709,-1.5412,477.9835,422.7910,-3.0271,468.6388,425.0594,-3.5192,458.5946,427.9965,-3.1930,449.4009,431.6562,-2.0003,439.7611,435.0534,-0.4253,430.6077,439.0288,1.7434,420.8510,441.6226,2.9834,410.6526,443.1697,3.4936,400.6850,443.4225,3.2285,390.6154,443.3387,1.8730,380.1839,442.7035,-0.0438
159,499.9712,419.8546,1.4419,489.7212,421.1650,-0.3071,479.9340,422.4391,-2.3091,470.0200,424.0534,-3.1774,460.5805,426.7766,-3.5602,450.7958,430.0238,-2.9182,441.3087,433.7675,-1.3104,431.9287,437.8781,0.0957,422.5615,441.0432,2.1173,412.9329,443.3756,3.3802,402.8069,444.5007,3.4472,392.5683,444.3682,2.9473,382.1347,443.9258,1.4341
160,501.6194,420.2304,2.2593,491.6107,421.0534,0.4706,481.7581,422.2172,-1.2710,471.9288,423.8500,-2.7370,461.7501,425.9694,-3.8380,452.3222,428.8789,-3.1550,442.6454,432.3664,-2.4265,433.7453,436.3378,-0.7518,424.3929,440.4445,1.1338,414.7609,443.2479,2.6174,404.6490,444.8845,3.3823,394.7093,445.6375,3.1692,384.4288,444.9142,2.3083
161,503.6284,420.4433,3.0529,493.6322,421.6436,1.9383,483.7283,422.4472,-0.0427,473.8347,423.5834,-2.0037,463.7471,425.2550,-3.3844,453.9632,428.0006,-3.7686,444.6235,431.1807,-2.9118,435.0489,434.9776,-1.6880,425.7053,439.3613,0.1462,416.4517,442.4961,1.9905,407.0020,445.1226,3.0073,396.8297,446.2535,3.4048,386.2673,446.1515,3.1349
162,505.3203,420.2775,3.4389,495.5559,421.8003,2.7792,485.4121,422.7288,0.8807,475.6859,423.5667,-0.8245,465.2434,424.9172,-2.5661,455.6020,426.6966,-3.5496,446.1731,429.8420,-3.4869,436.9537,433.3407,-2.5514,427.1320,437.7614,-0.9128,417.9718,441.7219,0.9521,408.4782,444.6259,2.6275,398.8626,446.9691,3.4197,388.8049,447.4641,3.6705
163,507.3937,420.6395,3.3519,497.2657,421.9919,3.2027,487.3189,423.1371,1.9345,477.3605,423.7402,0.2239,466.9457,424.3552,-1.6109,457.7289,426.0761,-2.9843,448.0058,428.6303,-3.5144,438.2351,431.8753,-3.3673,428.7526,436.0599,-2.1287,419.4311,440.3370,-0.0779,410.4394,443.9724,1.6147,400.2995,446.7374,2.7227,390.7781,448.1574,3.7347
164,508.9469,419.9472,3.5916,499.0175,421.9230,3.7463,489.3034,423.2429,3.0412,479.1889,424.1658,1.1693,469.3738,424.6768,-0.4676,459.0629,425.7407,-2.2530,449.4861,427.7135,-3.3062,439.6655,430.8243,-3.7856,430.0643,434.6154,-3.1652,421.2631,438.6944,-1.2896,411.7245,442.8061,0.5720,402.4957,446.5573,2.1042,392.6252,448.4215,3.3026
165,510.9060,420.1974,2.5457,501.2641,422.0464,3.2984,491.3460,423.5198,3.0847,481.2849,424.2346,2.2625,470.9031,424.9779,0.7951,461.1035,425.6242,-1.2588,451.0827,427.4071,-2.6843,441.1558,429.3067,-3.4445,431.9360,432.7389,-3.4791,422.5530,437.0057,-2.7137,413.1534,441.5125,-0.8544,403.9625,445.2536,1.2598,394.1280,448.2394,2.7866
166,512.6111,419.7787,2.0267,502.6779,422.0135,3.3226,493.2057,424.0579,3.8910,482.9936,424.9877,3.4167,473.2066,425.4818,1.4673,462.6706,426.2101,-0.1351,452.8423,426.9147,-2.0311,443.0995,428.6943,-3.1108,433.1242,431.7244,-3.4212,424.1087,434.9183,-2.9230,414.4482,439.7077,-1.5216,405.5445,444.1932,0.3968,395.9853,447.7278,1.8228
167,514.3368,419.0520,0.7050,504.8062,421.6200,2.4270,494.7840,423.7339,3.5045,484.9875,425.4046,3.2529,474.7500,425.9694,2.7607,464.8239,426.5900,1.0875,454.8352,427.0475,-1.0785,444.7006,428.0324,-2.5060,434.8667,430.4248,-3.4293,425.3934,433.7218,-3.0692,415.8353,438.1661,-2.7402,406.6630,442.2569,-0.8887,397.5941,446.6314,0.7774
168,515.8979,418.2511,-0.0696,506.3709,420.9812,1.5157,496.3790,423.6123,3.0382,486.8462,425.4258,3.7589,476.9666,426.6957,3.3141,466.8342,427.3827,1.8132,456.6583,427.1899,0.1948,446.8812,428.0037,-1.7376,436.6604,429.8042,-2.8787,426.9201,432.5332,-3.5995,417.7419,436.2480,-3.3861,408.0822,440.5996,-1.9907,399.0792,445.2218,-0.2729
169,517.9024,416.8457,-1.1642,508.1343,420.3398,0.3481,498.6625,423.0337,2.2273,488.9126,425.2541,3.3827,478.8906,427.0973,3.4961,468.8756,427.9758,2.7959,458.9449,427.9694,1.2530,448.6600,428.4396,-0.6349,438.3796,429.5949,-2.0920,428.4905,430.9981,-3.1115,419.1068,434.3394,-3.7020,409.4249,438.3882,-2.7959,400.4477,443.5817,-1.2170
170,519.2243,416.2399,-2.1257,509.6940,419.8817,-0.6173,499.9776,422.2642,1.1146,490.7469,425.2203,2.3784,480.6337,427.1933,3.7496,470.8137,428.3661,3.4306,460.9580,429.0126,2.2080,450.5400,429.1952,0.9812,440.3482,429.4056,-1.1713,430.2727,430.7120,-2.8742,420.6376,432.8856,-3.4175,411.3065,436.5074,-3.2731,401.8514,441.5403,-2.1685
171,521.1212,415.5494,-3.2130,511.0716,418.5313,-1.8869,501.8732,421.5106,0.2361,492.3407,424.5620,1.7573,482.6216,427.3243,3.2099,472.5722,428.8234,3.5641,462.5361,429.3563,3.0627,452.3121,429.7463,1.3940,442.3632,429.8045,-0.1070,432.3758,430.7636,-1.8027,422.1297,432.1902,-3.1304,412.7300,435.1889,-3.4750,403.4479,439.5048,-2.9331
172,522.5103,414.5478,-3.4966,513.0693,417.4212,-2.5959,503.4247,420.6634,-0.9368,494.0807,424.2704,1.0178,484.2701,427.0560,2.2814,474.6162,428.8911,3.3761,464.8827,430.1120,3.5316,454.5375,430.5793,2.3901,444.2767,430.5412,0.9829,434.0408,430.8500,-0.8028,423.7995,431.7853,-2.2313,413.9834,433.8046,-3.5622,404.4990,437.2008,-3.6386
173,524.4647,413.7768,-3.7307,514.6109,416.5733,-3.1658,505.0907,420.0562,-1.9790,495.6457,422.9664,-0.3871,485.8644,426.0600,1.6547,476.3944,428.7675,2.9281,466.6707,430.5487,3.5959,456.4980,431.4363,3.1252,445.8825,431.1672,2.0716,435.9254,431.3298,0.0003,425.7486,431.7762,-1.5662,415.7826,432.9922,-2.6917,406.2717,435.9161,-3.7920
174,525.8827,413.1660,-3.5079,516.2958,415.4133,-3.6776,506.5694,418.3032,-3.0777,497.2029,421.7809,-1.3826,487.6716,425.4290,0.6162,478.0224,428.2622,2.2403,468.5072,430.6540,3.3254,458.3990,431.9653,3.6611,448.2250,432.4597,2.9031,438.3560,432.1257,1.5273,427.9199,432.0007,-0.4095,417.8142,432.7814,-2.5802,408.0222,434.6135,-3.3612
175,527.4761,412.8362,-3.0288,517.8688,414.7233,-3.5452,508.0816,417.5612,-3.3126,498.7176,420.7025,-2.7321,489.5432,424.2575,-0.5347,479.8308,427.7072,1.3283,470.0802,430.6567,2.9897,460.3785,432.3418,3.6908,450.3633,433.1386,3.3340,440.1020,433.3342,2.2436,429.9212,433.2458,0.7207,419.5925,433.1433,-1.2913,409.4481,434.0614,-2.9589
176,529.6654,412.3875,-2.1796,519.7452,414.2579,-3.1299,509.7422,416.3796,-3.3337,500.2686,419.6232,-3.0381,490.6731,422.8390,-1.6217,481.3824,426.6467,0.2752,471.6567,429.9482,2.0777,462.3264,432.3774,3.2459,452.3679,433.6882,3.3764,442.2627,434.2139,3.3294,431.7583,434.0980,1.8206,421.6453,433.6702,-0.2607,411.3879,433.9855,-1.8985
177,531.1781,412.3718,-0.5971,521.2904,413.8753,-2.7795,511.6942,415.8123,-3.5953,502.0461,418.4600,-3.2235,492.4637,421.8283,-2.6162,482.8412,425.8581,-0.9714,473.6004,429.0956,0.6444,463.7699,431.8558,2.6941,454.2591,434.0950,3.2441,444.0298,435.0431,3.3096,434.0583,434.9207,2.5521,423.5952,434.2723,1.1201,413.3578,434.1031,-0.9230
178,533.1284,412.1950,0.3102,523.3988,413.6397,-1.7837,513.2376,414.9119,-2.9507,503.4502,417.5271,-3.4706,494.1506,420.5392,-3.2770,484.3196,424.4453,-1.6873,475.1356,427.9943,-0.4304,465.6107,431.4278,1.4836,456.2787,434.1504,2.8876,446.0609,435.6947,3.3520,436.0620,436.0800,3.3734,425.7447,435.6359,1.9182,415.5688,435.2941,0.3472
179,535.1326,412.4532,1.1906,525.3230,413.5345,-0.3011,515.0947,415.0389,-2.3410,505.0834,416.6946,-3.4077,495.7150,419.4153,-3.7979,485.9979,422.5255,-2.9533,476.6876,426.4806,-1.1798,467.3542,430.2722,0.6875,457.8981,433.6916,2.1564,448.3062,436.0288,3.1741,438.0364,436.8187,3.7001,427.6291,436.8228,2.7483,417.5066,436.1706,1.3560
180,536.5972,412.7642,1.9163,526.9466,413.7261,0.5568,517.0896,414.9312,-1.0640,507.1842,416.2821,-2.8104,497.2933,418.5770,-3.5521,487.3092,421.1665,-3.1148,478.1075,425.0197,-2.1775,468.9894,429.1816,-0.6101,459.1059,433.1602,1.1681,449.9856,435.7716,2.6731,439.9293,437.4686,3.7918,429.6598,438.0607,3.6561,419.4657,437.5914,2.1430
181,539.0430,412.6364,3.1534,528.5132,413.7851,1.7294,518.6166,414.8115,-0.3199,508.8155,415.8107,-2.0611,498.9843,417.4229,-3.0808,489.1408,420.4987,-3.6768,479.6280,423.6651,-2.9069,470.0134,427.5131,-1.5074,460.8570,431.4613,-0.1198,451.4851,434.9723,1.9693,441.6166,437.5745,3.1466,431.7809,438.8041,3.4535,421.5162,439.0283,3.1201
182,540.7245,413.0813,3.5552,530.6595,414.2689,2.5574,520.9371,415.1229,1.0057,510.8771,416.1126,-0.9699,500.7667,417.0942,-2.5330,490.9333,419.3559,-3.4835,481.1690,422.3529,-3.4114,471.7849,426.0399,-2.5203,462.6184,430.2452,-0.9276,453.2554,434.2698,0.9329,443.5426,437.3989,2.3958,433.7259,439.3670,3.4675,423.6219,440.0262,3.3813
183,542.5737,412.7387,3.7890,532.6711,414.4980,3.2413,522.3875,415.1764,2.0297,512.4718,416.2479,0.4135,502.5685,417.0056,-1.4769,492.5206,418.7594,-2.8911,482.8295,421.3588,-3.6419,473.4061,424.7069,-3.2105,463.9165,428.5239,-1.9839,454.6519,432.7369,-0.1158,445.2697,436.8550,1.5480,435.5070,439.3086,3.1204,425.6456,440.9042,3.5918
184,544.3777,412.7053,3.3402,534.4723,414.7505,3.4961,524.2689,415.6204,2.7391,514.5400,416.4267,1.2079,504.3274,417.2724,-0.5075,494.1914,418.3308,-2.0682,484.6207,420.3228,-3.4492,474.9074,422.9534,-3.4805,465.6558,426.8837,-2.8978,456.0932,431.1940,-1.1047,446.7816,435.4530,0.6307,437.3888,438.6930,2.2618,427.8816,441.1354,3.3295
185,546.0898,412.2067,2.8009,536.2475,414.4865,3.7291,526.2667,416.1120,3.1993,516.4291,416.7916,2.3524,506.3030,417.7251,0.4370,496.1559,418.2420,-1.1169,486.0262,419.6600,-2.6805,476.5767,421.7852,-3.3772,467.0436,425.4940,-3.4486,457.6952,429.5070,-2.3849,448.7392,433.8633,-0.5810,438.9487,437.8725,1.2029,429.3608,440.8545,2.7590
186,547.7773,412.3847,1.8746,538.0304,414.5720,3.4379,528.0510,416.4780,3.4392,518.2392,417.2359,2.9861,508.0201,418.0064,1.6454,498.0954,418.6650,-0.0792,488.0713,419.7114,-1.8768,478.4011,421.2333,-3.2713,468.3794,423.5522,-3.6629,458.9881,427.7395,-2.8643,449.5376,432.2594,-1.9233,440.3190,436.9353,0.2324,430.7279,440.5653,1.8679
187,549.7712,411.3024,0.8940,539.9149,413.8282,2.5152,530.2569,416.1762,3.5375,520.3286,417.8098,3.6648,510.2798,418.8823,2.6332,500.2141,419.0780,1.1003,490.0014,419.7091,-0.7532,479.9202,420.7287,-2.7663,470.2292,422.7209,-3.5743,460.6037,426.2400,-3.4084,451.3948,430.2902,-2.5521,441.9458,435.1470,-0.7555,432.6850,439.0532,0.6904
188,551.0859,410.5378,-0.2122,541.6497,413.7255,1.5991,531.9701,416.0906,3.2148,522.3565,417.8980,3.6361,512.0941,419.1133,3.1542,501.8536,419.6599,2.1599,492.0828,420.1895,0.2793,481.9959,420.6998,-1.5906,471.6857,422.3679,-2.8289,462.0722,424.6051,-3.2920,452.8184,428.3627,-3.2849,443.6062,433.1956,-1.8974,434.5286,437.8058,-0.1899
189,553.0650,409.7375,-1.4425,543.0970,412.9888,0.3891,533.7291,415.7384,2.1604,523.8946,418.1661,3.5787,513.9944,419.4314,3.8552,504.0146,420.2515,2.7914,493.9739,420.6420,1.3688,483.4995,420.8706,-0.3274,473.7227,422.0343,-2.4663,463.7554,423.8408,-3.2347,454.5955,426.9481,-3.6997,444.8351,430.9006,-2.6393,435.7120,435.7539,-1.1827
190,554.7285,408.8465,-2.3971,545.0070,411.7465,-0.5568,535.4976,415.1131,1.3315,525.7459,417.7985,2.9616,515.9576,419.9957,3.6728,505.9226,420.8974,3.2837,496.0202,421.7853,2.2810,485.6953,421.6135,0.6457,475.4936,422.0648,-1.4443,465.4266,423.2400,-2.7434,455.8773,425.7071,-3.3645,446.2425,429.1682,-3.2240,437.1623,433.8718,-2.1375
191,555.8964,408.1996,-3.0269,546.4053,411.2081,-1.4263,537.2840,414.2113,0.2235,527.5572,417.0637,2.2864,517.6224,420.0166,3.1710,507.9295,421.2762,3.8078,498.0980,422.1101,2.9625,487.5435,422.3813,1.3621,477.2098,422.4055,-0.0728,467.2916,422.9811,-2.1603,457.4377,424.6953,-3.1316,447.9890,427.3908,-3.3633,438.2457,431.9146,-3.1241
192,557.9754,407.1936,-3.5231,548.1737,409.7603,-2.6078,538.5782,413.1173,-1.1663,529.1590,416.4564,0.9950,519.4610,419.1570,2.3774,509.7711,421.2154,3.6558,499.7635,422.6696,3.5139,489.7614,423.1966,2.4802,479.3325,423.4028,0.6823,469.1053,423.1634,-0.7295,459.2823,424.3145,-2.6271,449.5306,426.3137,-3.5432,439.8957,429.8814,-3.6453
193,559.5369,406.3911,-3.7141,549.7797,409.0787,-3.2166,540.5125,412.1357,-1.9705,530.8929,415.4109,-0.4210,521.0457,418.8298,1.5417,511.6212,421.3954,3.0113,501.8196,423.0342,3.7027,491.7591,423.6684,3.2027,481.6972,424.5133,2.0119,471.2289,423.6502,0.2746,461.0717,424.1882,-1.3066,451.1892,425.5313,-3.1447,441.6327,428.3526,-3.7312
194,560.9602,405.7026,-3.2460,551.6173,408.1379,-3.3191,541.7241,411.0963,-2.7844,532.1521,414.4220,-1.5192,522.9406,417.7689,0.5923,513.5707,420.9171,2.1137,503.4097,423.2802,3.1964,493.7809,424.7524,3.8253,483.7719,424.9009,2.9100,473.1288,424.5497,1.4658,462.7988,424.8479,-0.6239,452.9045,425.6483,-2.1728,443.2001,427.2824,-3.2069
195,562.9162,405.1226,-2.9019,552.9355,407.1343,-3.4435,543.5048,409.8641,-3.2675,534.0126,413.3270,-2.4682,524.4462,416.8591,-0.6725,515.1675,420.3300,1.4496,505.4353,422.9228,2.7603,495.9107,425.0434,3.5211,485.6214,425.6793,3.3370,475.4662,425.7991,2.4594,465.2782,425.3923,0.6783,454.9580,425.6923,-1.2810,444.8371,426.9791,-2.8371
196,564.8043,405.0484,-2.1168,554.9794,406.5171,-3.1432,545.3419,408.9879,-3.8260,535.5690,412.0671,-3.0384,526.1283,415.6179,-1.9156,516.8033,418.8791,0.0656,507.2343,422.3578,1.6843,497.3004,424.8610,3.4762,487.2635,426.3978,3.5680,477.2239,426.5137,2.8783,467.1197,426.5650,1.8933,456.6413,425.8627,-0.0325,446.7240,426.7524,-2.1861
197,566.7729,404.8697,-0.5617,556.6040,406.5194,-2.5829,547.1549,408.2111,-3.6861,537.2125,411.1308,-3.3046,527.6509,414.3441,-2.5961,518.4248,418.1401,-1.0743,508.9137,421.5949,1.0425,499.1304,424.6360,2.4106,489.1624,426.4783,3.6273,479.4608,427.4551,3.5686,469.1457,427.6723,2.5279,458.8222,426.9430,1.1708,448.6438,426.9685,-0.4976
198,568.5687,405.0799,0.3077,558.3545,406.1715,-1.5643,548.5018,407.9023,-3.0274,538.8514,410.0203,-3.8156,529.3127,413.1393,-3.2303,519.8150,416.5858,-2.1120,510.2691,420.1751,-0.1769,500.6834,423.8721,1.2594,491.1289,426.7006,2.9945,481.3401,428.2093,3.3372,471.3340,428.5383,3.2433,460.9702,427.8509,2.2321,450.5232,427.8287,0.2062
199,570.1644,405.1798,1.1743,560.3106,405.9991,-0.4169,550.4563,407.4921,-2.1275,540.4042,409.2147,-3.2855,531.0098,411.9496,-3.5944,521.3542,415.3877,-2.7707,512.0499,419.0287,-1.2186,502.4511,422.9290,0.5808,492.7754,426.1393,2.2521,483.2539,428.5489,2.9869,472.9761,429.6080,3.6769,463.2886,429.4161,3.0206,452.9818,428.5004,1.1062
200,572.0584,404.9387,2.5465,562.0935,406.0988,0.8171,552.2359,407.1896,-1.1224,542.0891,408.6435,-2.5767,532.3403,410.8520,-3.6134,522.7984,413.5516,-3.6191,513.4669,417.8329,-2.2164,503.9904,421.5938,-0.8834,494.5991,425.3065,1.1362,485.1247,428.3243,2.8361,475.5131,430.0893,3.2485,464.8577,430.5073,3.2516,454.7175,430.3133,2.3312
201,573.8279,405.5363,3.0261,564.0137,406.4615,1.7730,553.8866,407.3741,0.0676,544.2002,408.3804,-1.8996,534.3865,410.1846,-3.3770,524.3794,412.8639,-3.6135,514.9795,416.2032,-3.0982,505.6673,420.3235,-1.6322,496.3050,424.3280,0.2285,486.9201,427.3725,1.9072,477.1155,430.1409,3.0475,467.0657,431.2444,3.6487,456.9646,431.3231,3.2161
202,575.7958,405.3483,3.5067,565.8585,406.8461,2.5684,555.9685,407.7474,0.7545,545.8478,408.5220,-1.1414,535.9164,409.7725,-2.7122,526.3198,411.8689,-3.7966,516.4543,414.7596,-3.5116,506.9849,418.3977,-2.5570,497.6129,422.8518,-0.9256,488.4136,426.5910,0.8811,478.8411,429.8863,2.2548,469.0258,431.4893,3.4770,459.3071,432.3115,3.3731
203,577.8423,405.3271,3.4359,567.7758,406.9666,3.3689,557.7301,407.8516,1.9792,547.6347,408.7590,0.4630,537.5947,409.4914,-1.5826,527.7381,410.9999,-3.1807,517.8423,413.6449,-3.7021,508.8833,417.0904,-3.3919,499.0894,421.0214,-2.2230,489.9200,425.4933,-0.3061,480.4078,428.8136,1.3510,470.8863,431.8407,3.0091,460.7319,433.3826,3.5154
204,579.2553,405.1631,3.2390,569.6752,406.8586,3.6973,559.7143,408.4284,3.0563,549.6136,408.9807,1.4413,539.3257,409.9523,-0.5034,529.5332,410.7227,-2.4072,519.7286,412.8496,-3.3381,509.8170,415.5529,-3.4889,501.0177,419.4111,-2.7839,491.4322,423.6665,-1.5275,481.9650,427.7339,0.5639,472.7444,431.3763,2.1156,463.0173,433.9602,3.0732
205,581.3947,405.0618,2.8015,571.6369,407.3694,3.5251,561.9459,408.4356,3.4994,551.3777,409.3051,2.3820,541.6067,410.0430,0.7157,531.3259,411.0474,-1.4470,521.5302,412.2769,-2.7219,511.7641,414.5126,-3.9304,502.0279,418.0090,-3.2810,493.1069,422.0019,-2.0661,483.5998,426.5739,-0.7020,474.1759,430.6068,1.0080,464.9102,433.7884,2.7525
206,583.2598,404.5005,1.8648,573.3784,406.9117,3.2810,563.6390,408.9067,3.5211,553.2977,410.0223,3.0034,543.1990,410.4320,1.6532,533.5592,411.1992,-0.2509,523.1345,411.8831,-2.0550,513.4577,413.8956,-2.7695,504.0612,416.4139,-3.4570,494.3895,420.5194,-2.9793,485.0156,424.8183,-1.8148,475.7161,429.0677,0.0788,466.0749,433.0312,2.3025
207,584.5747,404.1595,0.6098,575.0982,406.5296,2.5241,565.4292,408.6411,3.4341,555.5539,410.1826,3.6806,545.5898,411.0842,2.8070,534.9798,411.5226,1.0791,525.3054,412.3232,-0.7175,515.1870,413.3953,-2.4914,505.1880,415.5476,-3.3733,495.8557,418.5703,-3.2026,486.3990,422.8433,-2.6996,477.2847,427.6018,-0.9373,467.9422,431.8767,1.0041
208,586.4284,403.1282,-0.3666,576.5519,406.3461,1.4658,566.9779,408.5233,2.8100,557.4947,410.5189,3.4442,547.2254,411.5178,3.4073,537.0251,412.2283,2.0920,527.1449,412.5967,0.2370,516.6551,413.2242,-1.6466,506.9001,414.9222,-2.7922,497.3723,417.3625,-3.5902,487.7143,420.9749,-3.1080,478.7164,425.4000,-1.8490,469.5531,430.0380,-0.3432
209,588.0314,402.1801,-1.2408,578.4408,405.4098,0.7620,568.8039,408.0726,2.2113,559.1009,410.4826,3.1986,549.0382,412.0046,3.3719,539.0492,413.2763,3.2044,529.4155,413.1240,1.1901,518.9894,413.3482,-0.5358,508.7333,414.5322,-2.2270,499.1045,416.2184,-3.3651,489.2247,419.4180,-3.6128,480.2249,423.5462,-2.9901,470.9601,428.5843,-1.3764
210,590.0071,401.0341,-2.4492,580.1362,404.3156,-1.0425,570.6162,407.4514,1.1045,560.9354,410.2551,2.6602,551.2470,412.1493,3.7146,541.3591,413.1815,3.2539,531.1894,413.6931,2.2327,520.8877,414.2061,0.8078,510.7103,414.5656,-1.1754,501.0151,415.7179,-2.7737,491.0312,417.9403,-3.7392,481.2099,422.0059,-3.0910,472.1038,426.4861,-2.2589
211,591.3546,400.5842,-3.0718,582.2074,403.6774,-1.8142,572.1085,406.9710,0.0791,562.6574,409.8066,1.9120,553.1581,412.0802,2.8304,543.0195,413.7103,3.5025,532.7934,414.4566,2.8382,523.0052,414.6326,1.6616,512.8799,414.8682,-0.0628,502.7283,415.6472,-1.9895,492.5532,417.4274,-3.1472,483.0085,420.1453,-3.6058,473.5091,424.4247,-2.8999
212,592.9428,399.4999,-3.5565,583.4042,402.8278,-2.4667,573.9280,405.6819,-0.9872,564.3432,408.8603,0.8002,554.8217,411.7351,2.2985,544.9570,413.9455,3.2005,535.1906,415.3817,3.8075,524.8070,415.6991,2.7782,514.7355,415.7955,1.0227,504.3979,415.8823,-0.7906,494.5560,416.9463,-2.4721,484.6640,419.1507,-3.4811,475.1004,422.6478,-3.8148
